KEY,en,notes,sp,fr,de,it,pt-br
CURRENT_LANGUAGE_NAME,English,"put ""espanol"" in the spanish column, ""francois"" in the french one, etc. Limited text box space so abbreviate if necessary",Українська,Français,Deutsch,Italiano,Português (Brasil)
CURRENT_LANGUAGE_SHIPPABLE,yes,"put ""yes"" if the language is shippable and ""no"" if its not ready yet. this is not displayed, just used to determine if the language should show in the UI selector",yes,yes,yes,yes,yes
,,,,,,,
SONG_UNLOCK_CREDITS_1,"""Get in the Cage"" is now in the radio playlist!",,"""Get in the Cage"" тепер у радіоплейлисті!",«&nbsp;L'entrée en cage&nbsp;» est dispo dans la liste de lecture radio&nbsp;!,„Get in the Cage“ kann jetzt im Radio laufen!,"""Get in the Cage"" è ora nella playlist della radio!","""Get in the Cage"" foi adicionada à lista de reprodução de rádio!"
SONG_UNLOCK_CREDITS_2,"""Future Meets the Past"" is now in the radio playlist!",,"""Future Meets the Past"" тепер у радіоплейлисті!",«&nbsp;Le futur face au passé&nbsp;» est dispo dans la liste de lecture radio&nbsp;!,„Future Meets the Past“ kann jetzt im Radio laufen!,"""Future Meets the Past"" è ora nella playlist della radio!","""Future Meets the Past"" foi adicionada à lista de reprodução de rádio!"
,,,,,,,
,,,,,,,
CONTROL_BINDING_UNKNOWN,Unknown,,Невідомо,Inconnu,Unbekannt,Sconosciuto,Desconhecido
CONTROL_BINDING_ANY,Any Button,,Будь-яка кнопка,N'importe quelle touche,Beliebige Taste,Qualsiasi pulsante,Qualquer botão
CONTROL_BINDING_LEFTCLICK,Left Click,,Лівий клік,Clic gauche,Linksklick,Clic sinistro,Botão esquerdo do mouse
CONTROL_BINDING_RIGHTCLICK,Right Click,,Правий клік,Clic droit,Rechtsklick,Clic destro,Botão direito do mouse
CONTROL_BINDING_MIDDLECLICK,Middle Click,,Середній клік,Clic molette,Mittlere Maustaste,Clic centrale,Botão do meio do mouse
CONTROL_BINDING_MOUSE4,Mouse 4,,Кнопка миші 4,Clic&nbsp;4,Maus 4,Mouse 4,Mouse 4
CONTROL_BINDING_MOUSE5,Mouse 5,,Кнопка миші 5,Clic&nbsp;5,Maus 5,Mouse 5,Mouse 5
CONTROL_BINDING_MOUSEX,Mouse,,Миша,Souris,Maus,Mouse,Mouse
CONTROL_BINDING_MOUSEY,Mouse,,Миша,Souris,Maus,Mouse,Mouse
CONTROL_BINDING_MOUSEWHEELX,Mouse Wheel,,Колесо миші,Molette,Mausrad,Rotellina del mouse,Roda do mouse
CONTROL_BINDING_MOUSEWHEELY,Mouse Wheel,,Колесо миші,Molette,Mausrad,Rotellina del mouse,Roda do mouse
CONTROL_BINDING_NONE,,purposely empty,,,,,
,,,,,,,
ENEMY_FATWOMAN_DESC,"Melee attacker with Knockback.
Reflects projectiles. Units that contact it get knocked back.
Trample.",,"Атакувальний юніт ближнього бою з ефектом відштовхування.
Відбиває снаряди. Юніти, що торкаються його, відкидаються.
Топтання.","Attaque au corps-à-corps avec Recul.
Renvoie les projectiles. Les unités qui le touchent sont repoussées.
Piétinement.","Nahkämpferin mit Rückstoß.
Reflektiert Geschosse. Einheiten, die sie berühren, werden zurückgestoßen.
Trampel.","Attaccante corpo a corpo con Contraccolpo.
Riflette i proiettili. Le unità che la colpiscono vengono respinte indietro.
Calpestamento.","Agressor corpo-a-corpo com empurrão
Reflete projéteis. Unidades que atacam ou entram em contato são empurradas.
Atropelamento."
EABILITY_BIRTH_NAME,Birth,,Народження,Naissance,Gebären,Nascita,Nascimento
,,,,,,,
SPECIAL_STRAY_BUNNY,Bunny,,Кролик,Lapin,Hase,Coniglietto,Coelho
SPECIAL_STRAY_BEAVER,Beaver,,Бобер,Castor,Biber,Castoro,Castor
SPECIAL_STRAY_PIG,Pig,,Свиня,Cochon,Schwein,Maiale,Porco
SPECIAL_STRAY_DOG,Dog,,Собака,Chien,Hund,Cane,Cachorro
SPECIAL_STRAY_SKUNK,Skunk,,Скунс,Mouffette,Stinktier,Puzzola,Gambá
SPECIAL_STRAY_PORCUPINE,Porcupine,,Дикобраз,Porc-épic,Stacheltier,Porcospino,Porco-Espinho
SPECIAL_STRAY_ISAAC,Isaac,,Isaac,Isaac,Isaac,Isaac,Isaac
SPECIAL_STRAY_EDMUND,Edmund,,Edmund,Edmund,Edmund,Edmund,Edmund
SPECIAL_STRAY_TYLER,Tyler,,Tyler,Tyler,Tyler,Tyler,Tyler
