KEY,en,notes,sp,fr,de,it,pt-br
EVENT_DEADRAT_NAME,Dead Rat,udpated ✔️,Мертвий пацюк,Rat mort,Tote Ratte,Ratto Morto,Rato Morto
EVENT_DEADRAT_QUES,"{catname} finds a dead rat...

Stench from the corpse fills {his} nose, a powerful but intriguing smell.",,"{catname} знаходить мертвого пацюка...

Смердючий запах вiд тiла заповнюê нiс {his}, сильний, але iнтригуючий.","{catname} trouve un rat mort...

La puanteur du cadavre lui emplit les narines. C'est une odeur forte, mais intrigante.","{catname} findet eine tote Ratte&nbsp;…

Der Gestank der Leiche steigt in {his}e Nase&nbsp;… Streng, aber faszinierend.",,"{catname} encontra um rato morto...

O mau cheiro do cadáver preenche seu nariz. Um odor poderoso, porém intrigante."
EVENT_DEADRAT_QUES_M,,,,,,"{catname} trova un ratto morto...

La puzza del cadavere gli riempie il naso: un odore tanto potente quanto intrigante.",
EVENT_DEADRAT_QUES_F,,,,,,"{catname} trova un ratto morto...

La puzza del cadavere le riempie il naso: un odore tanto potente quanto intrigante.",
EVENT_DEADRAT_QUES_N,,,,,,"{catname} trova un ratto morto...

La puzza del cadavere riempie il suo naso: un odore tanto potente quanto intrigante.",
EVENT_DEADRAT_REW1,"{catname} decimates the corpse!

Tiny screams can be heard as nearby rats scamper away in fear!",,"{catname} знищуê труп!

Чути тонкi писки, коли сусiднi пацюки вiд страху розбiгаються!","{catname} massacre le cadavre&nbsp;!

Les rats alentour s'enfuient en poussant de petits cris de peur&nbsp;!","{catname} zerfetzt die Leiche!

Etliche quiekende Schreie ertönen in der Nähe und alle Ratten im Umkreis fliehen vor Angst!","{catname} distrugge il cadavere!

Si sentono piccole urla mentre i vicini ratti sgattaiolano via in preda alla paura!","{catname} estraçalha o cadáver!

Pequenos gritos podem ser ouvidos à medida que ratos próximos fogem apavorados!"
EVENT_DEADRAT_REW1_M,,,,,,,
EVENT_DEADRAT_REW1_F,,,,,,,
EVENT_DEADRAT_REW1_N,,,,,,,
EVENT_DEADRAT_REW2,"{catname} rips the body apart!

Among the remains {he} sees something interesting...
",,"{catname} розриваê тiло на шматки!

Серед решток {he} бачить щось цiкаве...","{catname} éventre le cadavre&nbsp;!

Parmi les restes, {he} ne remarque rien d'intéressant...","{catname} reißt die Leiche auseinander!

In den Überresten findet {he} etwas&nbsp;…
","{catname} lacera il corpo!

Tra i resti, vede qualcosa di interessante...","{catname} destrói o corpo!

Entre os restos, havia algo interessante..."
EVENT_DEADRAT_REW2_M,,,,,,,
EVENT_DEADRAT_REW2_F,,,,,,,
EVENT_DEADRAT_REW2_N,"{catname} rips the body apart!

Among the remains they see something interesting...",,"{catname} розриваê тiло на шматки!

Серед решток вони бачать щось цiкаве...",,"{catname} reißt die Leiche auseinander!

In den Überresten ist etwas verborgen&nbsp;…","{catname} lacera il corpo!

Tra i resti, vede qualcosa di interessante...",
EVENT_DEADRAT_REW3,"{catname} smashes the rat corpse, tearing it limb from limb!

From around {him}, {catname} hears chittering through the walls as angry rats prepare to ambush!",,"{catname} розбиваê труп пацюка, розриваючи його на шматки!

Навкруги {him} {catname} чуê шурхiт крiзь стiни, коли розлюченi пацюки готуються влаштувати засiдку!","{catname} frappe violemment le cadavre du rat, le démembrant de part en part&nbsp;!

Tout autour, {he} entend des couinements dans les murs. Des rats en colère s'apprêtent à prendre {catname} en embuscade&nbsp;!","{catname} schlägt auf die Rattenleiche ein und reißt ihr alle Gliedmaßen aus!

Plötzlich hört {he} wütendes Schnattern, das aus den Wänden zu dringen scheint. Die Ratten bereiten einen Angriff vor!","{catname} colpisce il corpo del ratto, smembrandolo!

{catname} sente attraverso le mura il chiacchiericcio dei ratti furibondi che preparano un'imboscata nelle vicinanze!","{catname} destrói o corpo, arrancando membro a membro!
{catname} ouve sons pelas paredes ao redor enquanto ratos furiosos preparam uma emboscada!"
EVENT_DEADRAT_REW3_M,,,,,,,
EVENT_DEADRAT_REW3_F,,,,,,,
EVENT_DEADRAT_REW3_N,,,,,,,
