KEY,en,notes,sp,fr,de,it,pt-br
FURNITURE_RARE_FORMAT,Rare {furniturename},,Рiдкiсний {furniturename},{furniturename} rare,{furniturename} (Selten),{furniturename} (raro),{furniturename} (raro)
FURNITURE_NAME_POOP,Poop,,Гiвно,Crotte,Häufchen,Cacca,Cocô
FURNITURE_DESC_POOP,,,,,,,
FURNITURE_NAME_AUTOFEEDER,Autofeeder,"(cut, no need to localize)",Автогодiвниця,Autofeeder,,,
FURNITURE_DESC_AUTOFEEDER,This item got removed from the game and has no effect. Its a waste of space to keep in your house.,"(cut, no need to localize)",Цей предмет видалено з гри i вiн не маê жодного ефекту. Тримати його в будинку — марна трата мiсця.,This item got removed from the game and has no effect. Its a waste of space to keep in your house.,,,
FURNITURE_NAME_SPECIAL_FOODBOX,Food Storage Box,,Коробка для зберiгання ïжi,Boîte de rangement de croquettes,Futterbox,Scatola per il cibo,Caixa de armazenamento de comida
FURNITURE_DESC_SPECIAL_FOODBOX,+40 Max Food,,+40 до макс. ïжi,Nourriture max.&nbsp;+40,+40&nbsp;max. Futter,+40 Cibo Massimo,+40 de comida máx.
FURNITURE_NAME_SPECIAL_COMFORTIDOL,Idol of Comfort,,Iдол Затишку,Idole de Bien-être,Idol des Komforts,Idolo del Comfort,Ídolo de conforto
FURNITURE_DESC_SPECIAL_COMFORTIDOL,,,,,,,
FURNITURE_NAME_SPECIAL_APPEALIDOL,Idol of Appeal,,Iдол Привабливостi,Idole d'Attractivité,Idol der Anziehung,Idolo dell'Attrattiva,Ídolo de apelo
FURNITURE_DESC_SPECIAL_APPEALIDOL,,,,,,,
FURNITURE_NAME_SPECIAL_HEALTHIDOL,Idol of Health,,Iдол Здоров'я,Idole de Santé,Idol der Gesundheit,Idolo della Salute,Ídolo de saúde
FURNITURE_DESC_SPECIAL_HEALTHIDOL,,,,,,,
FURNITURE_NAME_SPECIAL_EVOLUTIONIDOL,Idol of Evolution ,,Iдол Еволюцiï,Idole d'Évolution,Idol der Evolution ,Idolo dell'Evoluzione,Ídolo de evolução
FURNITURE_DESC_SPECIAL_EVOLUTIONIDOL,,,,,,,
FURNITURE_NAME_SPECIAL_STIMULATIONIDOL,Idol of Stimulation ,,Iдол Стимуляцiï,Idole de Stimulation,Idol der Stimulation ,Idolo della Stimolazione,Ídolo de estimulação
FURNITURE_DESC_SPECIAL_STIMULATIONIDOL,,,,,,,
FURNITURE_NAME_SPECIAL_FIGHTIDOL,Idol of Chaos,,Iдол Хаосу,Idole du Chaos,Idol des Chaos,Idolo del Caos,Ídolo de caos
FURNITURE_DESC_SPECIAL_FIGHTIDOL,Fights are deadlier but the winning cat gets double the stat rewards.,,"Боï стають смертельнiшими, але коту-переможцю нараховуються подвiйнi бонуси до характеристик.","Les combats sont plus sanguinaires, mais le chat vainqueur remporte le double des récompenses en stats.","Kämpfe sind tödlicher, aber Attributsbelohnungen sind verdoppelt.","I combattimenti sono più letali, ma il gatto vincitore ottiene il doppio delle ricompense alle statistiche.","Lutas são mais mortais, mas os gatos vencedores obtêm o dobro de recompensas de atributos."
FURNITURE_NAME_SPECIAL_SUPPRESSORIDOL,Idol of Chastity,,Iдол Цноти,Idole de Chasteté,Idol der Keuschheit,Idolo della castità,Ídolo de castidade
FURNITURE_DESC_SPECIAL_SUPPRESSORIDOL,Cats will not breed.,,Коти не розмножуватимуться.,Les chats ne se reproduiront pas.,Katzen pflanzen sich nicht fort.,I gatti non si riproducono.,Gatos não procriam.
FURNITURE_NAME_SET_SPIDER_CANDELABRA,Spider Candelabra,,Павуковий канделябр,Candélabre araignée,Spinnenkronleuchter,Candelabro aracnide,Candelabro de aranha
FURNITURE_DESC_SET_SPIDER_CANDELABRA,,,,,,,
FURNITURE_NAME_SET_SPIDER_VANITY,Spider Vanity,,Павукове трюмо,Coiffeuse araignée,Spinnenfrisiertisch,Toeletta aracnide,Penteadeira de aranha
FURNITURE_DESC_SET_SPIDER_VANITY,,,,,,,
FURNITURE_NAME_SET_SPIDER_CHAIR,Spider Chair,,Павуковий стiлець,Chaise araignée,Spinnenstuhl,Sedia aracnide,Cadeira de aranha
FURNITURE_DESC_SET_SPIDER_CHAIR,,,,,,,
FURNITURE_NAME_SET_SPIDER_TABLE,Spider Table,,Павуковий стiл,Table araignée,Spinnentisch,Tavolo aracnide,Mesa de aranha
FURNITURE_DESC_SET_SPIDER_TABLE,,,,,,,
FURNITURE_NAME_SET_SPIDER_DRESSER,Spider Dresser,,Павуковий комод,Commode araignée,Spinnenkleiderschrank,Comò aracnide,Cômoda de aranha
FURNITURE_DESC_SET_SPIDER_DRESSER,,,,,,,
FURNITURE_NAME_SET_SPIDER_TV,Spider TV,,Павучий телевiзор,TV araignée,Spinnenfernseher,TV aracnide,TV de aranha
FURNITURE_DESC_SET_SPIDER_TV,,,,,,,
FURNITURE_NAME_SET_SPIDER_TOILET,Spider Toilet,,Павучий унiтаз,Toilettes araignée,Spinnentoilette,WC aracnide,Privada de aranha
