KEY,en,notes,sp,fr,de,it,pt-br
//weapons,,,,,,,
ITEM_22RIFLE_NAME,.22 Rifle,,.22 Гвинтівка,Carabine .22,Kleinkaliber,Fucile .22,Rifle .22
ITEM_22RIFLE_DESC,Use: Fire a shot anywhere within your line of sight.,,Використати: Вистріліть куди завгодно в межах вашого поля зору.,Utilisation&nbsp;: tire sur n'importe quelle cible dans votre ligne de mire.,Benutzen: Schieße auf ein Ziel in deiner Sichtlinie.,Uso: Spari un colpo in qualsiasi punto entro il tuo campo visivo.,Uso: realize um disparo em qualquer lugar dentro do seu campo de visão.
ITEM_ALIENBLASTER_NAME,Alien Blaster,,Інопланетний Бластер,Flingue extraterrestre,Alienblaster,Blaster Alieno,Blaster Alienígena
ITEM_ALIENBLASTER_DESC,Use: A laser attack. Gains +1 damage for the rest of the battle each time it's used.,,Використати: Лазерна атака. Кожного разу при використанні отримує +1 до шкоди на весь залишок бою.,Utilisation&nbsp;: une attaque laser. Dégâts +1&nbsp;à chaque utilisation durant ce combat.,"Benutzen: Ein Laserangriff. Erhält für den Rest des Kampfes jedes Mal +1&nbsp;Schaden, wenn er benutzt wird.",Uso: Un attacco laser. Ottieni +1 al Danno per il resto della battaglia ogni volta che viene utilizzato.,Uso: um ataque a laser. Obtém +1 de dano pelo resto da batalha a cada vez que for usada.
ITEM_ALIENTECH_NAME,Alien Tech,,Інопланетні Технології,Technologie extraterrestre,Alientechnologie,Tecnologia Aliena,Tecnologia Alienígena
ITEM_ALIENTECH_DESC,"Use: Target an area. Unleash a hyper beam attack in that area at the start of your next turn.
[s:.7](Usable once per battle.)[/s]",,"Використати: Оберіть область. Випустіть гіперпроменеву атаку в цій області на початку вашого наступного ходу.
[s:.7](Можна використати лише один раз за бій.)[/s]","Utilisation&nbsp;: lance une énorme attaque laser sur la zone sélectionnée au début de votre prochain tour.
[s:.7](Utilisable 1&nbsp;fois par combat.)[/s]","Benutzen: Wähle einen Zielbereich. Entfessle am Anfang deines nächsten Zuges einen Hyperstrahlangriff in diesem Bereich.
[s:.7](Einmal pro Kampf verwendbar.)[/s]","Uso: Seleziona un'area bersaglio. Scateni un attacco a iper-raggio in quell'area all'inizio del tuo prossimo turno.
[s:.7](Utilizzabile una volta per battaglia.)[/s]","Uso: mire em uma área. Libere um ataque de hiper raio nessa área no início do seu próximo turno.
[s:.7](Um uso por batalha.)[/s]"
ITEM_AMERICANFLAG_NAME,American Flag,,Американський Прапор,Drapeau états-unien,Amerikaflagge,Bandiera Americana,Bandeira Americana
ITEM_AMERICANFLAG_DESC,"Use: Force a unit to attack one of its enemies.
[s:.7](Usable once per battle.)[/s]",,"Використати: Змусьте юніта атакувати одного зі своїх ворогів.
[s:.7](Можна використати лише один раз за бій.)[/s]","Utilisation&nbsp;: contraint une unité à attaquer un de ses ennemis.
[s:.7](Utilisable 1&nbsp;fois par combat.)[/s]","Benutzen: Zwinge eine Einheit, einen ihrer Gegner anzugreifen.
[s:.7](Einmal pro Kampf verwendbar.)[/s]","Uso: Costringi un'unità ad attaccare uno dei suoi nemici.
[s:.7](Utilizzabile una volta per battaglia.)[/s]","Uso: force uma unidade a atacar um de seus inimigos.
[s:.7](Um uso por batalha.)[/s]"
ITEM_ANARCHISTCOOKBOOK_NAME,Anarchist Cookbook,,Книга Анархіста,B.a.-ba de l'anarchiste,Anarchist Cookbook,Ricettario Anarchico,Manual Anarquista
ITEM_ANARCHISTCOOKBOOK_DESC,Use: Summon 3-5 grenades that explode at the end of the round or when destroyed.,,"Використати: Викликати 3-5 гранат, які вибухають в кінці раунду або коли їх знищують.",Utilisation&nbsp;: fait apparaître 3&nbsp;à 5&nbsp;grenades qui explosent en fin de manche ou en étant détruites.,"Benutzen: Lasse 3&nbsp;– 5 Granaten erscheinen, die am Ende der Runde, oder wenn sie zerstört werden, explodieren.",Uso: Evochi 3-5 granate che esplodono alla fine del round o quando vengono distrutte.,Uso: invoque 3-5 granadas que explodem no final da rodada ou ao serem destruídas.
ITEM_ANOINTINGOIL_NAME,Anointing Oil,,Миропомазувальна Олія,Huile d'onction,Salböl,Olio da Unzione,Óleo de Unção
