KEY,en,notes,sp,fr,de,it,pt-br
KEYWORD_ADRENALINE_NAME,Adrenaline,,Адреналін,Adrénaline,Adrenalin,Adrenalina,Adrenalina
KEYWORD_ADRENALINE_DESC,"Keeps Exhaustion at 0.
+25% Crit Chance.
+25% Block Chance.",,"Утримує Виснаження на 0.
+25% шанс критичного удару.
+25% шанс блокування.","L'épuisement reste à 0.
Chances de coup critique +25&nbsp;%.
Chances de bloquer +25&nbsp;%.","Erschöpfung bleibt auf 0.
+25&nbsp;% kritische Trefferchance.
+25&nbsp;% Blockwahrscheinlichkeit.","Mantiene la Spossatezza a 0.
+25% probabilità di colpo critico.
+25% probabilità di parata.","Mantém a exaustão em 0.
+25% de chance de crítico.
+25% de chance de bloquear."
KEYWORD_ALLSTATSUP_NAME,All Stats Up,,Усі характеристики підвищено,Hausse de stats,Bonus auf alle Attribute,Aumento delle Statistiche,Todos os atributos aumentados
KEYWORD_ALLSTATSUP_DESC,All Stats increased by {stacks},,Усі характеристики збільшено на {stacks},Toutes les stats augmentent de {stacks}.,Alle Attribute um {stacks} erhöht,Tutte le statistiche aumentano di {stacks}.,Todos os atributos são aumentados em {stacks}
KEYWORD_ALLSTATSDOWN_NAME,All Stats Down,,Усі характеристики знижено,Baisse de stats,Malus auf alle Attribute,Diminuzione delle Statistiche,Todos os atributos diminuídos
KEYWORD_ALLSTATSDOWN_DESC,All Stats decreased by {absstacks},,Усі характеристики зменшено на {absstacks},Toutes les stats baissent de {stacks}.,Alle Attribute um {absstacks} verringert.,Tutte le statistiche diminuiscono di {absstacks}.,Todos os atributos são diminuídos em {absstacks}
KEYWORD_ALPHA_NAME,The Alpha,,Альфа,L'Alpha,Der Alpha,L'Alfa,Alfa
KEYWORD_ALPHA_DESC,This is the Alpha. Certain abilities care about this.,,Це — Альфа. Деякі здібності залежать від цього.,"L'Alpha, en chair et en os. Certaines compétences le prennent en compte.",Dies ist der Alpha. Relevant für gewisse Fähigkeiten.,Questo è l'Alfa. Alcune abilità ne tengono conto.,Esta unidade possui o papel de alfa. Isso é importante para certas habilidades.
KEYWORD_ALPHA_DESC_STACKLESS,No effects on its own. Only one unit can be The Alpha. Certain spells and abilities provide bonuses for The Alpha.,,Не має ефектів сам по собі. Лише один юніт може бути Альфою. Деякі заклинання й здібності дають бонуси для Альфи.,Aucun effet en soi. Une seule unité peut être l'Alpha. Certains sorts et compétences confèrent des bonus à l'Alpha.,Hat allein keine Wirkung. Nur eine Einheit kann der Alpha sein. Gewisse Zauber und Fähigkeiten verleihen dem Alpha Boni.,Nessun effetto di per sé. Solo un'unità può essere l'Alfa. Alcuni incantesimi e abilità forniscono bonus per l'Alfa.,Nenhum efeito por si só. Apenas uma unidade pode assumir o papel de alfa. Certos encantamentos e habilidades concedem bônus para alfas.
KEYWORD_AMMO_NAME,Ammo,,Боєприпаси,Munitions,Munition,Munizioni,Munição
KEYWORD_AMMO_DESC,{stacks} shots left.,,{stacks} пострілів залишилося.,Balles qu'il vous reste&nbsp;: {stacks}.,Noch {stacks}&nbsp;Schüsse übrig.,{stacks} colpi rimanenti.,{stacks} disparos restantes.
KEYWORD_AMMO_DESC_STACKLESS,Certain abilities require ammo to use.,,Деякі здібності вимагають боєприпасів для використання.,Certaines compétences requièrent des munitions.,Gewisse Fähigkeiten benötigen Munition.,Alcune abilità richiedono delle munizioni per essere utilizzate.,Certas habilidades requerem munição para serem utilizadas.
