KEY,en,notes,sp,fr,de,it,pt-br
//misc,,,,,,,
AREA_NAME_TUTORIAL,The Path,,Шлях,La Route,Der Trampelpfad,Il Sentiero,O Caminho
AREA_NAME_HOUSE,Home,,Дім,La Maison,Dein Haus,Casa,Casa
AREA_NAME_ALLEY,The Alley,,Провулок,La Ruelle,Die Gasse,Il Vicolo,O Beco
AREA_NAME_SEWERS,The Sewers,,Каналізація,Les Égouts,Die Kanalisation,Le Fogne,O Esgoto
AREA_NAME_JUNKYARD,The Junkyard,,Свалка,La Décharge,Der Schrottplatz,La Discarica,O Ferro-Velho
AREA_NAME_CAVES,The Caves,,Печери,Les Grottes,Die Höhlen,Le Caverne,As Cavernas
AREA_NAME_BONEYARD,The Boneyard,,Кістяний цвинтар,Le Cimetière,Der Friedhof,Il Cimitero,O Cemitério
AREA_NAME_MEATWORLD,The Throbbing Domain,,Пульсуюче володіння,Le Domaine lancinant,Das Pulsierende Reich,Il Regno Pulsante,O Domínio Pulsante
AREA_NAME_DESERT,The Desert,,Пустеля,Le Désert,Die Wüste,Il Deserto,O Deserto
AREA_NAME_CRATER,The Crater,,Кратер,Le Cratère,Der Krater,Il Cratere,A Cratera
AREA_NAME_BUNKER,The Bunker,,Бункер,Le Bunker,Der Bunker,Il Bunker,O Bunker
AREA_NAME_MOON,The Moon,,Місяць,La Lune,Der Mond,La Luna,A Lua
AREA_NAME_CORE,The Core,,Ядро,Le Noyau,Der Kern,Il Nucleo,O Núcleo
AREA_NAME_DIMENSIONX,The Rift,,Розлом,La Faille,Der Riss,La Fenditura,A Fissura
AREA_NAME_LAB,The Lab,,Лабораторія,Le Labo,Das Labor,Il Laboratorio,O Laboratório
AREA_NAME_ICEAGE,The Ice Age,,Льодовиковий вік,L'Âge de glace,Die Eiszeit,L'Era Glaciale,A Era do Gelo
AREA_NAME_JURASSIC,The Jurassic,,Юрський період,Le Jurassique,Der Jura,Il Giurassico,O Jurássico
AREA_NAME_FUTURE,Das Füture,,Das Füture,Das Füture,Die Zukunft,Das Füture,Das Füture
AREA_NAME_THEEND,The End,,Кінець,La Fin,Das Ende,La Fine,O Fim
AREA_NAME_ENDOFTIME,The Infinite,,Нескінченність,L'Infini,Die Unendlichkeit,L'Infinito,O Infinito
AREA_NAME_UNKNOWN,Somewhere,,Десь,L'Ailleurs,Irgendwo,Da Qualche Parte,Algum Lugar
SAVE_FILE_NO_DATA,No Data,,Немає даних,Aucune donnée,Keine Daten,Nessun dato,Sem Dados
,,,,,,,
SAVE_FILE_FIGHT_HOUSEBOSS_GUILLOTINA_1,Fighting Guillotina,,Б'юся з Guillotina,Affrontement&nbsp;: Guillotina,Kampf mit Guillotina,Combattimento contro Guillotina,Enfrentando Guilhotina
SAVE_FILE_FIGHT_HOUSEBOSS_GUILLOTINA_2,Fighting Guillotina,,Б'юся з Guillotina,Affrontement&nbsp;: Guillotina,Kampf mit Guillotina,Combattimento contro Guillotina,Enfrentando Guilhotina
SAVE_FILE_FIGHT_HOUSEBOSS_GUILLOTINA_3,Fighting Guillotina,,Б'юся з Guillotina,Affrontement&nbsp;: Guillotina,Kampf mit Guillotina,Combattimento contro Guillotina,Enfrentando Guilhotina
SAVE_FILE_FIGHT_HOUSEBOSS_PYROPHINA,Fighting Pyrophina,,Б'юся з Pyrophina,Affrontement&nbsp;: Pyrophina,Kampf mit Pyrophina,Combattimento contro Pyrophina,Enfrentando Pyrophina
SAVE_FILE_FIGHT_HOUSEBOSS_ZARATANA,Fighting Zaratana,,Б'юся з Zaratana,Affrontement&nbsp;: Zaratana,Kampf mit Zaratana,Combattimento contro Zaratana,Enfrentando Zaratana
SAVE_FILE_FIGHT_HOUSEBOSS_KAIJUFIGHT,Watching some kaijus duke it out,,"Спостерігаю, як якісь кайдзю б'ються",Regarde des kaijus se castagner,Kampf zwei riesiger Kaijus,Mentre guardi dei kaiju che se le danno di santa ragione,Vendo alguns kaijus acertarem as contas
SAVE_FILE_FIGHT_HOUSEBOSS_TERMINATOR_1,Fighting the C-800,,Б'юся з C-800,Affrontement&nbsp;: C-800,Kampf mit dem C-800,Combattimento contro il C-800,Enfrentando G-800
SAVE_FILE_FIGHT_HOUSEBOSS_TERMINATOR_2,Fighting the C-1000,,Б'юся з C-1000,Affrontement&nbsp;: C-1000,Kampf mit dem C-1000,Combattimento contro il C-100,Enfrentando G-1000
SAVE_FILE_FIGHT_HOUSEBOSS_TERMINATOR_3,Fighting Hitler's Robot Army,,Б'юся з армією роботів Гітлера,Affrontement&nbsp;: armée de robots hitlériens,Kampf mit Hitlers Roboterarmee,Combattimento contro l'esercito di robot di Hitler,Enfrentando o exército robótico de Hitler
,,,,,,,
AREA_NAME_ALLEY_BANNER,THE ALLEY,,ПІДВОРОТНЯ,RUELLE,DIE GASSE,IL VICOLO,O BECO
AREA_NAME_SEWERS_BANNER,SEWERS,,КАНАЛІЗАЦІЯ,ÉGOUTS,KANALISATION,FOGNE,ESGOTO
AREA_NAME_JUNKYARD_BANNER,JUNKYARD,,СМІТНИК,DÉCHARGE,SCHROTTPLATZ,DISCARICA,FERRO-VELHO
AREA_NAME_CAVES_BANNER,CAVES,,ПЕЧЕРИ,GROTTES,HÖHLEN,CAVERNE,CAVERNAS
AREA_NAME_BONEYARD_BANNER,BONEYARD,,КІСТЯРНЯ,CIMETIÈRE,FRIEDHOF,CIMITERO,CEMITÉRIO
AREA_NAME_MEATWORLD_BANNER,THROBBING DOMAIN,,ПУЛЬСУЮЧЕ ВОЛОДІННЯ,DOMAINE LANCINANT,PULSIERENDES REICH,REGNO PULSANTE,DOMÍNIO PULSANTE
AREA_NAME_DESERT_BANNER,DESERT,,ПУСТЕЛЯ,DÉSERT,DIE WÜSTE,DESERTO,DESERTO
AREA_NAME_CRATER_BANNER,THE CRATER,,КРАТЕР,CRATÈRE,DER KRATER,IL CRATERE,A CRATERA
AREA_NAME_BUNKER_BANNER,BUNKER,,БУНКЕР,BUNKER,DER BUNKER,BUNKER,BUNKER
AREA_NAME_MOON_BANNER,THE MOON,,Місяць,LUNE,DER MOND,LA LUNA,A LUA
AREA_NAME_CORE_BANNER,THE CORE,,Ядро,NOYAU,DER KERN,IL NUCLEO,O NÚCLEO
AREA_NAME_DIMENSIONX_BANNER,THE RIFT,,Розлом,FAILLE,DER RISS,LA FENDITURA,A FISSURA
AREA_NAME_LAB_BANNER,THE LAB,,Лабораторія,LABO,DAS LABOR,IL LABORATORIO,O LABORATÓRIO
AREA_NAME_ICEAGE_BANNER,ICE AGE,,Льодовиковий період,ÂGE DE GLACE,DIE EISZEIT,L'ERA GLACIALE,ERA DO GELO
