KEY,en,notes,sp,fr,de,it,pt-br
//body,,,,,,,
MUTATION_BODY_301_DESC,+1 Thorns.,,+1 до Шипiв.,Épines +1.,+1&nbsp;Dornen.,+1 Spine.,+1 de espinhos.
MUTATION_BODY_309_DESC,Units that contact you get knocked back 2 tiles.,,"Юнiти, що торкаються вас, вiдштовхуються на 2 клiтинки.",Les unités qui vous touchent subissent Recul +2.,"Einheiten, die dich berühren, werden 2&nbsp;Felder zurückgestoßen.",Le unità che ti toccano vengono respinte indietro di 2 caselle.,Unidades que entram em contato com você são empurradas 2 espaços para trás.
MUTATION_BODY_312_DESC,Spawn a coin when you take damage.,,"Заспавнити монету, коли ви отримуêте шкоду.","Quand vous subissez des dégâts, une pièce apparaît.","Lasse eine Münze erscheinen, wenn du Schaden erleidest.",Generi una moneta quando subisci danno.,Gere uma moeda ao sofrer dano.
MUTATION_BODY_313_DESC,+1 Kinetic Spikes.,,+1 до Кiнетичних Шипiв.,Pics cinétiques +1.,+1&nbsp;Kinetiknadeln.,+1 Spuntoni Cinetici.,+1 de espinhos cinéticos.
MUTATION_BODY_314_DESC,+2 Thorns.,,+2 до Шипiв.,Épines +2.,+2&nbsp;Dornen.,+2 Spine.,+2 de espinhos.
MUTATION_BODY_315_DESC,+1 Brace.,,+1 Brace.,Garde +1.,+1&nbsp;Wappnen.,+1 alla Guardia.,+1 de preparação.
MUTATION_BODY_317_DESC,Immune to Heat Wave weather.,,Iмунiтет до погоди «Хвиля спеки».,Immunité aux vagues de chaleur.,Immun gegen Hitzewelle.,Immune alla situazione cliamtica Ondata di Calore.,Imunidade contra tempestades de calor.
MUTATION_BODY_318_DESC,25% chance to spawn a Charmed Fly each turn.,,25% шанс заспавнити Зачаровану Муху кожного ходу.,25&nbsp;% de chances d'invoquer une mouche envoûtée à chaque tour.,"Je Zug 25&nbsp;% Wahrscheinlichkeit, dass eine freundliche Fliege erscheint.",25% di probabilità di generare una Mosca Ammaliata ogni turno.,25% de chance de gerar uma mosca enfeitiçada a cada turno.
MUTATION_BODY_319_DESC,"When you take damage from an attack, gain a random buff.",,"Коли ви отримуêте шкоду вiд атаки, отримайте випадковий баф.","Quand vous subissez les dégâts d'une attaque, vous bénéficiez d'un bonus aléatoire.","Erhalte eine zufällige Stärkung, wenn du Schaden von einem Angriff erleidest.","Quando subisci danno da un attacco, ottieni un bonus casuale.","Ao sofrer dano de um ataque, obtenha um fortalecimento aleatório."
MUTATION_BODY_321_DESC,Spawn a Charmed Kitten familiar when you get downed.,,"Заспавнити фамiльяра «Зачароване кошеня», коли вас виводять з ладу.","Quand vous êtes mis K.O., un chaton envoûté de compagnie est invoqué.","Lasse einen freundlichen Katzenbegleiter erscheinen, wenn du in Ohnmacht fällst.",Generi un famiglio Gattino Ammaliato quando sei KO.,Gere um gatinho enfeitiçado ao ficar inconsciente.
MUTATION_BODY_322_DESC,Gain an extra consumable item at the end of each battle.,,Отримуйте додатковий витратний предмет наприкiнцi кожноï битви.,Vous obtenez un objet consommable bonus à la fin de chaque combat.,Erhalte am Ende jeden Kampfes einen zusätzlichen Gebrauchsgegenstand.,Ottieni un oggetto consumabile aggiuntivo alla fine di ogni battaglia.,Obtenha um item consumível adicional no final de cada batalha.
MUTATION_BODY_323_DESC,"Trample. When damaged, move 1 tile in a random direction.",,"Топтання. Коли отримуêте шкоду, перемiстiться на 1 клiтинку у випадковому напрямку.","Piétinement. Quand vous subissez des dégâts, vous vous déplacez d'1&nbsp;case dans n'importe quelle direction.","Trampel. Wenn du Schaden erleidest, bewegst du dich 1&nbsp;Feld in eine zufällige Richtung.","Calpestamento. Quando subisci danno, ti muovi di 1 casella in una direzione casuale.","Atropelamento. Ao sofrer dano, mova-se 1 espaço em uma direção aleatória."
