KEY,en,notes,sp,fr,de,it,pt-br
WEATHER_NONE_NAME,Clear Skies,,Ясне небо,Ciel dégagé,Klarer Himmel,Cielo Sereno,Céu limpo
WEATHER_NONE_DESC,There are no weather effects.,,Немаê погодних ефектiв.,Aucun effet météorologique.,Es sind keine Wettereffekte aktiv.,Nessun effetto meteorologico.,Nenhum efeito de clima.
WEATHER_FOG_NAME,Fog,,Туман,Brouillard,Nebel,Nebbia,Neblina
WEATHER_FOG_DESC,All attacks and abilities have a +10% chance to miss.,,Усi атаки та здiбностi мають +10% шанс промаху.,+ 10 % de risque d'échec pour toutes les attaques et compétences.,"Alle Angriffe und Fähigkeiten besitzen eine Wahrscheinlichkeit von +10&nbsp;%, nicht zu treffen.",Tutti gli attacchi e le abilità hanno un +10% di probabilità di mancare il bersaglio.,Todos os ataques e habilidades possuem 10% de chance de errar.
WEATHER_RAIN_NAME,Rain,,Дощ,Pluie,Regen,Pioggia,Chuva
WEATHER_RAIN_DESC,Persistent Water Element.,,Постiйний водний елемент.,Eau persistante.,Durchgängiger Wassereffekt.,Elemento acqua persistente.,Um elemento persistente de água.
WEATHER_HEAVYRAIN_NAME,Heavy Rain,,Сильний дощ,Forte pluie,Starkregen,Pioggia Intensa,Chuva pesada
WEATHER_HEAVYRAIN_DESC,Persistent Water Element. There are extra water tiles in every battle.,,Постiйний водний елемент. У кожнiй битвi ê додатковi воднi клiтинки.,Eau persistante. Des cases d'eau supplémentaires apparaissent à chaque combat.,Durchgängiger Wassereffekt. In jedem Kampf sind zusätzliche Wasserfelder vorhanden.,Elemento acqua persistente. In ogni battaglia sono presenti più caselle d'acqua.,Um elemento persistente de água. Há espaços adicionais de água em cada batalha.
WEATHER_WINDY_NAME,Windy,,Вiтряно,Vent,Wind,Vento,Vento
WEATHER_WINDY_DESC,"At the end of each round, wind blows everything 1 space in a random direction.",,Наприкiнцi кожного раунду вiтер зсуваê все на 1 клiтинку в випадковому напрямку.,"À la fin de chaque manche, le vent repousse tout d'une case dans une direction aléatoire.",Am Ende jeder Runde weht der Wind alles um 1&nbsp;Feld in eine zufällige Richtung.,"Alla fine di ogni round, il vento fa spostare tutto di 1 spazio in una direzione casuale.","No final de cada rodada, o vento empurra tudo por 1 espaço em uma direção aleatória."
WEATHER_SANDSTORM_NAME,Sandstorm,,Пiщана буря,Tempête de sable,Sandsturm,Tempesta di Sabbia,Tempestade de areia
WEATHER_SANDSTORM_DESC,"At the end of each round, damages everything by 1.",,Наприкiнцi кожного раунду завдаê всьому 1 шкоди.,"À la fin de chaque manche, inflige 1 point de dégât partout.",Am Ende jeder Runde erleidet jede Einheit 1&nbsp;Schaden.,"Alla fine di ogni round, infligge 1 di danno a tutto.","No final de cada rodada, causa 1 de dano a tudo."
WEATHER_OVERGROWTH_NAME,Overgrowth,,Заростi,Verdure,Überwucherung,Ipercrescita,Vegetação
WEATHER_OVERGROWTH_DESC,There are extra tall grass and bramble tiles in every battle.,,У кожнiй битвi ê додатковi клiтинки з високою травою та колючками.,Des cases de hautes herbes et de ronces supplémentaires apparaissent à chaque combat.,In jedem Kampf sind zusätzliche Felder vorhanden: Hohes Gras und Dornengestrüpp.,In ogni battaglia sono presenti più caselle con erba alta e rovi.,Há espaços adicionais de grama alta e espinheiros em cada batalha.
WEATHER_EARTHQUAKE_NAME,Earthquake,,Землетрус,Séisme,Erdbeben,Terremoto,Terremoto
WEATHER_EARTHQUAKE_DESC,There was an earthquake! Objects in each battle have been destroyed and there are rocks everywhere!,,"Вiдбувся землетрус! Об'êкти в кожнiй битвi були зруйнованi, i повсюди каменi!",Il y a eu un tremblement de terre ! Les objets de chaque combat ont été détruits et il y a des pierres partout !,Es gab ein Erdbeben! In jedem Kampf wurden Objekte zerstört und überall sind Steine!,C'è stato un terremoto! Gli oggetti in ogni battaglia sono stati distrutti e ci sono rocce ovunque!,Houve um terremoto! Objetos foram destruídos nas batalhas e há pedras por toda parte!
WEATHER_WILDFIRE_NAME,Wildfire,,Пожежа,Incendie,Flächenbrand,Incendio violento,Incêndio
WEATHER_WILDFIRE_DESC,There is fire everywhere!,,Повсюди вогонь!,Il y a du feu partout !,Überall brennt es!,C'è fuoco ovunque!,Há fogo por toda parte!
WEATHER_HEATWAVE_NAME,Heat Wave,,Хвиля спеки,Vague de chaleur,Hitzewelle,Ondata di Caldo,Onda de calor
WEATHER_HEATWAVE_DESC,Cats do not heal after battle. All heals are reduced by 1. Can be mitigated with water.,,Коти не вiдновлюються пiсля бою. Усi ефекти вiдновлення здоров'я зменшенi на 1. Можна пом'якшити водою.,Les chats ne se soignent pas après un combat. -1 à tous les soins. L'effet peut être atténué avec de l'eau.,Katzen stellen nach dem Kampf keine Gesundheit wieder her. Alle Heilungen sind um 1 reduziert. Kann mit Wasser entgegengewirkt werden.,I gatti non guariscono dopo la battaglia. Tutte le cure sono ridotte di 1. L'effetto può essere attenuato con acqua.,Gatos não são curados após a batalha. Todas as curas são reduzidas em 1. Pode ser mitigada com água.
WEATHER_SNOW_NAME,Snow,,Снiг,Neige,Schnee,Neve,Neve
WEATHER_SNOW_DESC,Persistent Ice Element.,,Постiйний льодовий елемент.,Glace persistante.,Durchgängiger Eiseffekt.,Elemento ghiaccio persistente.,Um elemento persistente de neve.
